,company,company_url,screener url
2237,SURYVANSPG,/company/SURYVANSPG/,https://www.screener.in/company/SURYVANSPG/
2238,DCMFINSERV,/company/DCMFINSERV/consolidated/,https://www.screener.in/company/DCMFINSERV/consolidated/
2239,SRIRAM,/company/SRIRAM/,https://www.screener.in/company/SRIRAM/
2240,ANTGRAPHIC,/company/ANTGRAPHIC/,https://www.screener.in/company/ANTGRAPHIC/
2241,UMESLTD,/company/UMESLTD/consolidated/,https://www.screener.in/company/UMESLTD/consolidated/
2242,VXLINSTR,/company/VXLINSTR/,https://www.screener.in/company/VXLINSTR/
2243,RADAAN,/company/RADAAN/,https://www.screener.in/company/RADAAN/
2244,TARAPUR,/company/TARAPUR/,https://www.screener.in/company/TARAPUR/
2245,SANCO,/company/SANCO/,https://www.screener.in/company/SANCO/
2246,PDPL,/company/PDPL/consolidated/,https://www.screener.in/company/PDPL/consolidated/
2247,NORBTEAEXP,/company/NORBTEAEXP/,https://www.screener.in/company/NORBTEAEXP/
2248,INDIALEASE,/company/INDIALEASE/,https://www.screener.in/company/INDIALEASE/
2249,SUZLONFIBR,/company/SUZLONFIBR/,https://www.screener.in/company/SUZLONFIBR/
2250,SHYAMTEL,/company/SHYAMTEL/,https://www.screener.in/company/SHYAMTEL/
2251,PHILCORP,/company/PHILCORP/,https://www.screener.in/company/PHILCORP/
2252,MUKATPIPE,/company/MUKATPIPE/,https://www.screener.in/company/MUKATPIPE/
2253,PREMIER,/company/PREMIER/,https://www.screener.in/company/PREMIER/
2254,SRPL,/company/SRPL/,https://www.screener.in/company/SRPL/
2255,SSINFRA,/company/SSINFRA/,https://www.screener.in/company/SSINFRA/
2256,GLFL,/company/GLFL/,https://www.screener.in/company/GLFL/
2257,BLUECOAST,/company/BLUECOAST/consolidated/,https://www.screener.in/company/BLUECOAST/consolidated/
2258,TVVISION,/company/TVVISION/,https://www.screener.in/company/TVVISION/
2259,AMFORGEIND,/company/AMFORGEIND/,https://www.screener.in/company/AMFORGEIND/
